Column1,Material,N_p,L_t,P_t,N_t,d_o,d_i,A,d_shell,V_tubes,V_shell,h_o,h_i,U,e,A_req,U_o_guess,T_o,dT_lm,m_dot_c,D_s/Lt
309723,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2609.88127,0.673050629,25.87909079,2225,71.24357396,42.45344589,18.70270242,0.064119941
309799,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2872.220144,0.626359536,18.91775823,2787.5,65,46.3561575,23.37958717,0.064119941
309818,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2609.88127,0.673050629,20.65685274,2787.5,71.24357396,42.45344589,18.70270242,0.064119941
309894,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2872.220144,0.626359536,15.74126897,3350,65,46.3561575,23.37958717,0.064119941
309913,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2609.88127,0.673050629,17.18835135,3350,71.24357396,42.45344589,18.70270242,0.064119941
309989,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2872.220144,0.626359536,13.47814724,3912.5,65,46.3561575,23.37958717,0.064119941
310008,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2609.88127,0.673050629,14.71718262,3912.5,71.24357396,42.45344589,18.70270242,0.064119941
310084,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2872.220144,0.626359536,11.78396672,4475,65,46.3561575,23.37958717,0.064119941
310103,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2609.88127,0.673050629,12.86725743,4475,71.24357396,42.45344589,18.70270242,0.064119941
310179,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2872.220144,0.626359536,10.46813917,5037.5,65,46.3561575,23.37958717,0.064119941
310198,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2609.88127,0.673050629,11.4304669,5037.5,71.24357396,42.45344589,18.70270242,0.064119941
310274,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2872.220144,0.626359536,9.416651976,5600,65,46.3561575,23.37958717,0.064119941
310293,0,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2609.88127,0.673050629,10.28231732,5600,71.24357396,42.45344589,18.70270242,0.064119941
340294,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2918.98082,0.632300268,47.93931915,1100,65,46.3561575,23.37958717,0.064119941
340313,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2648.432792,0.678405422,52.34634274,1100,71.24357396,42.45344589,18.70270242,0.064119941
340389,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2918.98082,0.632300268,31.71924876,1662.5,65,46.3561575,23.37958717,0.064119941
340408,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2648.432792,0.678405422,34.63517414,1662.5,71.24357396,42.45344589,18.70270242,0.064119941
340484,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2918.98082,0.632300268,23.70033756,2225,65,46.3561575,23.37958717,0.064119941
340503,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2648.432792,0.678405422,25.87909079,2225,71.24357396,42.45344589,18.70270242,0.064119941
340579,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2918.98082,0.632300268,18.91775823,2787.5,65,46.3561575,23.37958717,0.064119941
340598,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2648.432792,0.678405422,20.65685274,2787.5,71.24357396,42.45344589,18.70270242,0.064119941
340674,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2918.98082,0.632300268,15.74126897,3350,65,46.3561575,23.37958717,0.064119941
340693,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2648.432792,0.678405422,17.18835135,3350,71.24357396,42.45344589,18.70270242,0.064119941
340769,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2918.98082,0.632300268,13.47814724,3912.5,65,46.3561575,23.37958717,0.064119941
340788,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2648.432792,0.678405422,14.71718262,3912.5,71.24357396,42.45344589,18.70270242,0.064119941
340864,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2918.98082,0.632300268,11.78396672,4475,65,46.3561575,23.37958717,0.064119941
340883,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2648.432792,0.678405422,12.86725743,4475,71.24357396,42.45344589,18.70270242,0.064119941
340959,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2918.98082,0.632300268,10.46813917,5037.5,65,46.3561575,23.37958717,0.064119941
